% f evaluations | g evaluations | best noise-free fitness - Fopt (1.238300000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.078274711e+03 +1.202104711e+03 +1.202104711e+03 +7.8683e-01 +2.0316e+00 +3.1572e-02 +1.2589e-01 +1.5149e+00
4 0 +4.064561769e+02 +5.302861769e+02 +5.302861769e+02 -2.1333e-01 -2.3387e-01 -1.6486e+00 -1.2573e+00 -4.2897e-01
6 0 +2.910862014e+02 +4.149162014e+02 +4.149162014e+02 -5.5923e-01 +4.2697e-01 +4.2741e-01 +1.3658e+00 -7.6273e-01
32 0 +2.833594307e+02 +4.071894307e+02 +4.071894307e+02 +1.1804e-01 +9.8887e-02 +1.4320e-01 -6.8095e-02 -1.0156e+00
33 0 +1.641633339e+02 +2.879933339e+02 +2.879933339e+02 +5.5313e-01 +1.3038e+00 -4.3208e-01 +1.9090e-01 -3.9844e-01
47 0 +9.224377927e+01 +2.160737793e+02 +2.160737793e+02 -1.1135e-01 -1.0583e+00 -6.6885e-01 -5.5677e-01 +5.5036e-01
48 0 +5.162687462e+01 +1.754568746e+02 +1.754568746e+02 +2.0474e-03 +1.1352e+00 +4.1733e-02 +3.1673e-01 +6.2946e-02
58 0 +5.793148907e+00 +1.296231489e+02 +1.296231489e+02 -4.0049e-01 +6.6378e-01 -7.9836e-01 +2.6078e-03 -1.9891e-01
190 0 +4.575987540e+00 +1.284059875e+02 +1.284059875e+02 -5.0202e-01 +5.9841e-01 -7.7956e-01 +3.1252e-02 -2.3486e-01
205 0 +4.265848737e+00 +1.280958487e+02 +1.280958487e+02 -4.3622e-01 +5.2748e-01 -8.0658e-01 +9.5834e-02 -2.1594e-01
227 0 +4.052411834e+00 +1.278824118e+02 +1.278824118e+02 -3.0132e-01 +6.6856e-01 -6.3795e-01 +2.0665e-02 -3.0226e-01
240 0 +3.774812794e+00 +1.276048128e+02 +1.276048128e+02 -3.5230e-01 +6.0459e-01 -6.4733e-01 +2.7697e-02 -2.7698e-01
262 0 +3.677200738e+00 +1.275072007e+02 +1.275072007e+02 -3.4395e-01 +6.1999e-01 -6.6556e-01 +7.1686e-02 -2.7638e-01
286 0 +3.541349048e+00 +1.273713490e+02 +1.273713490e+02 -3.5569e-01 +6.2363e-01 -6.0141e-01 +7.8621e-02 -2.6629e-01
292 0 +3.370325885e+00 +1.272003259e+02 +1.272003259e+02 -3.1220e-01 +6.6390e-01 -5.6060e-01 +7.0910e-02 -3.1354e-01
311 0 +3.288774838e+00 +1.271187748e+02 +1.271187748e+02 -3.0063e-01 +6.5205e-01 -5.2809e-01 +7.3454e-02 -2.9963e-01
321 0 +3.211851201e+00 +1.270418512e+02 +1.270418512e+02 -2.7665e-01 +6.8043e-01 -5.2125e-01 +8.2326e-02 -3.0080e-01
333 0 +3.139122346e+00 +1.269691223e+02 +1.269691223e+02 -2.3301e-01 +6.8107e-01 -4.9062e-01 +9.9368e-02 -3.0230e-01
349 0 +3.044204273e+00 +1.268742043e+02 +1.268742043e+02 -2.4058e-01 +6.7071e-01 -4.6519e-01 +1.2037e-01 -3.0117e-01
388 0 +2.865947430e+00 +1.266959474e+02 +1.266959474e+02 -1.9381e-01 +6.8690e-01 -3.8455e-01 +1.4716e-01 -3.1058e-01
401 0 +2.794342510e+00 +1.266243425e+02 +1.266243425e+02 -1.8487e-01 +6.7869e-01 -3.8087e-01 +1.5020e-01 -2.7990e-01
413 0 +2.751579713e+00 +1.265815797e+02 +1.265815797e+02 -1.6440e-01 +6.9711e-01 -3.4078e-01 +1.7719e-01 -3.0192e-01
414 0 +2.690044291e+00 +1.265200443e+02 +1.265200443e+02 -1.8180e-01 +7.0868e-01 -3.4375e-01 +1.6744e-01 -2.7847e-01
427 0 +2.628566870e+00 +1.264585669e+02 +1.264585669e+02 -1.7027e-01 +7.1409e-01 -2.9881e-01 +1.8430e-01 -2.7587e-01
439 0 +2.548978647e+00 +1.263789786e+02 +1.263789786e+02 -1.5898e-01 +6.9024e-01 -2.8419e-01 +1.7590e-01 -2.7347e-01
445 0 +2.483341249e+00 +1.263133412e+02 +1.263133412e+02 -1.5218e-01 +6.9479e-01 -2.7103e-01 +1.8833e-01 -2.6250e-01
451 0 +2.431947286e+00 +1.262619473e+02 +1.262619473e+02 -1.2429e-01 +6.9287e-01 -2.3345e-01 +2.1846e-01 -2.8006e-01
467 0 +2.397047452e+00 +1.262270475e+02 +1.262270475e+02 -1.0560e-01 +6.9062e-01 -1.3912e-01 +2.4323e-01 -2.7173e-01
478 0 +2.311335682e+00 +1.261413357e+02 +1.261413357e+02 -1.3138e-01 +6.7148e-01 -1.3134e-01 +2.3969e-01 -2.4953e-01
486 0 +2.108799237e+00 +1.259387992e+02 +1.259387992e+02 -7.0868e-02 +6.8239e-01 -9.2531e-02 +2.7704e-01 -2.2542e-01
491 0 +2.042846440e+00 +1.258728464e+02 +1.258728464e+02 -6.4931e-02 +6.6915e-01 -3.1375e-02 +3.2311e-01 -2.0993e-01
535 0 +1.982944976e+00 +1.258129450e+02 +1.258129450e+02 -7.3861e-02 +6.4829e-01 -7.8298e-02 +2.8763e-01 -2.1377e-01
546 0 +1.845330256e+00 +1.256753303e+02 +1.256753303e+02 -6.4439e-02 +6.4904e-01 -1.6976e-02 +3.0939e-01 -2.1078e-01
571 0 +1.791565458e+00 +1.256215655e+02 +1.256215655e+02 -5.6562e-02 +6.2920e-01 +6.0060e-02 +3.3191e-01 -1.8111e-01
573 0 +1.715318597e+00 +1.255453186e+02 +1.255453186e+02 -7.9441e-02 +6.2215e-01 +2.1790e-02 +3.1135e-01 -2.1021e-01
