% f evaluations | g evaluations | best noise-free fitness - Fopt (1.238300000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.010938371e+04 +8.023321371e+04 +8.023321371e+04 -3.3494e+00 -1.3240e-01 +2.1026e+00 -2.1255e+00 -2.6229e-01 +2.7265e+00 +2.8396e-01 -4.4412e+00 -1.1744e+00 -1.7617e+00
2 0 +2.760204112e+04 +2.772587112e+04 +2.772587112e+04 -3.5380e-01 +1.5862e+00 -8.9421e-01 -1.6694e+00 -9.9674e-01 -2.4916e+00 -9.3319e-01 +8.5384e-01 +6.1915e-01 -3.1411e+00
4 0 +6.750293558e+03 +6.874123558e+03 +6.874123558e+03 -6.7882e-01 -1.0095e+00 -5.5066e-01 +2.2990e+00 -2.1126e-01 -1.6472e-01 +1.4695e+00 +7.6327e-01 -1.1716e+00 +1.5492e+00
6 0 +3.312287522e+03 +3.436117522e+03 +3.436117522e+03 -3.6391e-01 -1.4575e+00 +2.8862e+00 +1.2164e+00 -2.3253e+00 +1.0699e-01 -1.1902e+00 -1.2563e+00 +9.8558e-01 -4.2482e-01
26 0 +2.670660562e+03 +2.794490562e+03 +2.794490562e+03 +7.9804e-01 +7.3900e-01 -8.1118e-01 +2.3559e+00 -1.4382e-02 +1.0744e+00 +1.6664e+00 -5.4957e-02 +1.1292e+00 -2.0898e-01
51 0 +1.279405749e+03 +1.403235749e+03 +1.403235749e+03 +1.7619e+00 +1.8475e+00 -4.6201e-01 +5.9387e-01 +8.8580e-01 -2.6365e-01 -1.5071e-01 -1.2805e-02 -3.7825e-02 -1.0246e+00
76 0 +5.723697813e+02 +6.961997813e+02 +6.961997813e+02 +1.4355e+00 +1.0999e-01 +2.2352e-01 +1.5807e+00 +9.0084e-01 +2.0108e-01 -8.3738e-01 -1.2994e+00 +6.1958e-01 -4.9427e-01
101 0 +4.066985058e+02 +5.305285058e+02 +5.305285058e+02 -4.6604e-02 +1.1033e-01 +6.0761e-01 -2.0468e-01 +2.6779e-01 +8.9224e-01 -1.3136e-01 -1.2903e+00 +7.0289e-01 +2.0183e-01
113 0 +3.916810548e+02 +5.155110548e+02 +5.155110548e+02 +3.7718e-01 -3.4803e-02 +1.0431e+00 +4.5184e-01 -1.2018e-01 -6.5160e-01 -1.2546e-01 -5.7087e-01 -1.9416e-01 -2.0000e-01
117 0 +2.569219605e+02 +3.807519605e+02 +3.807519605e+02 +6.7406e-01 +8.4648e-05 +9.4725e-01 +2.7314e-01 -3.0560e-01 +1.4049e-01 -9.4349e-03 -2.8905e-01 +1.1971e+00 -4.8018e-01
143 0 +1.660012330e+02 +2.898312330e+02 +2.898312330e+02 -4.2922e-01 +6.3503e-01 +3.8178e-01 +7.5381e-02 +8.5321e-01 -2.5373e-01 -1.8150e-01 -2.9719e-01 +3.2988e-01 +1.5189e-01
163 0 +1.420967196e+02 +2.659267196e+02 +2.659267196e+02 -4.5439e-01 -4.3682e-01 +6.6956e-01 -3.8569e-01 +3.1333e-01 +5.4133e-01 -7.3765e-01 -3.7403e-01 +1.2690e+00 -1.0189e-01
178 0 +1.127224097e+02 +2.365524097e+02 +2.365524097e+02 -3.2284e-01 -3.9045e-01 +3.7751e-01 -2.1649e-01 +3.5917e-01 +7.0306e-01 -7.1733e-01 -8.6538e-01 +2.4990e-02 -5.4605e-01
206 0 +7.981917146e+01 +2.036491715e+02 +2.036491715e+02 +4.0427e-01 -2.8428e-01 +4.5703e-01 +5.4701e-01 -2.2612e-01 +6.2653e-01 -7.8754e-01 -5.7105e-01 +7.0758e-01 +2.2549e-02
234 0 +7.359931421e+01 +1.974293142e+02 +1.974293142e+02 -8.7858e-02 -5.9964e-02 +8.8166e-01 +6.3343e-01 -6.0604e-02 +1.5781e-01 -5.5260e-01 -6.8221e-01 +8.2004e-01 -1.8742e-01
241 0 +4.461180162e+01 +1.684418016e+02 +1.684418016e+02 +1.8357e-01 -5.1329e-02 +6.2824e-01 -2.4113e-01 +7.9779e-02 +6.0711e-01 -8.7269e-01 -7.7134e-01 +8.2660e-01 +3.1407e-02
261 0 +4.121664185e+01 +1.650466419e+02 +1.650466419e+02 +8.7082e-02 -2.6125e-01 +7.1481e-01 +5.0259e-01 +2.9638e-01 +4.4139e-01 -7.3511e-01 -6.8792e-01 +9.1238e-01 -3.2631e-02
269 0 +2.867976797e+01 +1.525097680e+02 +1.525097680e+02 +4.4577e-01 -1.2961e-01 +6.9377e-01 +1.9894e-01 +1.5185e-01 +7.6708e-01 -8.3558e-01 -6.2045e-01 +7.9024e-01 -1.8325e-01
367 0 +2.352405127e+01 +1.473540513e+02 +1.473540513e+02 +7.5544e-01 -1.8698e-01 +5.7524e-01 +1.1908e-01 +9.6690e-02 +7.6344e-01 -6.6587e-01 -6.9494e-01 +8.6536e-01 -2.0674e-02
390 0 +2.129601648e+01 +1.451260165e+02 +1.451260165e+02 +6.2788e-01 -2.2801e-01 +6.4587e-01 +2.9645e-01 +1.7985e-02 +8.1011e-01 -6.7285e-01 -7.1323e-01 +7.2210e-01 -2.7664e-01
405 0 +1.892566715e+01 +1.427556671e+02 +1.427556671e+02 +6.2696e-01 -3.3636e-01 +7.2147e-01 +1.5578e-01 +1.4788e-01 +7.6072e-01 -7.0093e-01 -8.0186e-01 +7.9417e-01 -1.6413e-01
