% f evaluations | g evaluations | best noise-free fitness - Fopt (-6.211100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.548761843e+08 +1.548755632e+08 +1.548755632e+08 +8.7985e-02 +3.5835e-01
6 0 +1.541099797e+08 +1.541093586e+08 +1.541093586e+08 +3.5481e-02 +3.6171e-01
32 0 +5.456437755e+07 +5.456375644e+07 +5.456375644e+07 +3.5594e-01 +1.0590e+00
45 0 +5.174205108e+07 +5.174142997e+07 +5.174142997e+07 -2.0447e-01 +1.0909e+00
55 0 +2.155701155e+07 +2.155639044e+07 +2.155639044e+07 -2.4220e-01 +1.6139e+00
82 0 +1.497416000e+07 +1.497353889e+07 +1.497353889e+07 -3.7287e-01 +1.8144e+00
105 0 +4.394000280e+06 +4.393379170e+06 +4.393379170e+06 -3.6438e-01 +2.4173e+00
129 0 +3.966817597e+06 +3.966196487e+06 +3.966196487e+06 +1.0247e-01 +2.4641e+00
131 0 +6.493095048e+05 +6.486883948e+05 +6.486883948e+05 -4.6143e-01 +3.1301e+00
151 0 +4.450164863e+05 +4.443953763e+05 +4.443953763e+05 -9.8443e-01 +3.2367e+00
152 0 +1.989857468e+02 -4.221242532e+02 -4.221242532e+02 -1.2117e-01 +3.9773e+00
167 0 +1.134266269e+01 -6.097673373e+02 -6.097673373e+02 -7.9605e-01 +3.9877e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.548200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.030193288e+08 +5.030190740e+08 +5.030190740e+08 -3.3161e-01 -4.2119e-01
2 0 +2.951158354e+08 +2.951155806e+08 +2.951155806e+08 +1.4924e-01 -2.5456e-01
5 0 +2.789307743e+08 +2.789305195e+08 +2.789305195e+08 +4.9767e-02 -2.0455e-02
33 0 +2.468265501e+08 +2.468262953e+08 +2.468262953e+08 +3.3848e-01 -2.4125e-01
45 0 +2.212809414e+08 +2.212806865e+08 +2.212806865e+08 +4.4241e-01 -2.1619e-01
57 0 +2.146860049e+08 +2.146857501e+08 +2.146857501e+08 +2.7877e-01 +6.1394e-02
67 0 +2.087378656e+08 +2.087376108e+08 +2.087376108e+08 +4.2802e-01 -1.0492e-01
69 0 +1.859983974e+08 +1.859981426e+08 +1.859981426e+08 +4.6286e-01 +2.3941e-02
103 0 +1.525680062e+08 +1.525677514e+08 +1.525677514e+08 +5.7535e-01 +1.6787e-01
107 0 +1.023610876e+08 +1.023608328e+08 +1.023608328e+08 +1.2033e+00 -6.9340e-02
119 0 +8.281391752e+07 +8.281366270e+07 +8.281366270e+07 +1.5106e+00 -1.4259e-01
151 0 +7.260388470e+07 +7.260362988e+07 +7.260362988e+07 +1.4168e+00 +1.5809e-01
152 0 +2.594808258e+07 +2.594782776e+07 +2.594782776e+07 +2.0575e+00 +7.9793e-01
178 0 +2.543014596e+07 +2.542989114e+07 +2.542989114e+07 +3.0059e+00 -9.2058e-03
199 0 +2.376018342e+07 +2.375992860e+07 +2.375992860e+07 +2.1601e+00 +8.0652e-01
201 0 +1.065661938e+07 +1.065636456e+07 +1.065636456e+07 +3.8697e+00 +6.5109e-01
223 0 +4.086418979e+06 +4.086164159e+06 +4.086164159e+06 +5.0758e+00 +1.7393e+00
231 0 +2.189264682e+06 +2.189009862e+06 +2.189009862e+06 +5.0000e+00 +2.2812e+00
