% f evaluations | g evaluations | best noise-free fitness - Fopt (1.238300000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.089638892e+05 +4.090877192e+05 +4.090877192e+05 +4.9397e+00 +2.1410e+00 -2.7325e+00 +2.2574e+00 +3.4658e+00 +4.9077e+00 -1.9822e+00 -4.1946e+00 +2.2271e+00 +2.5352e+00 -8.4907e-01 -1.4083e+00 +4.3893e+00 +1.1828e+00 +3.4899e+00 +3.8816e-01 +1.5964e+00 +3.1884e+00 +1.3914e+00 +4.6733e+00
3 0 +3.323996623e+05 +3.325234923e+05 +3.325234923e+05 +2.3570e+00 +1.3922e+00 +2.0275e+00 +4.8453e+00 -2.3716e+00 -1.4309e-01 +2.6999e+00 +5.9915e-01 +1.8172e+00 +4.8242e+00 +4.3879e+00 -4.4404e-02 -2.1503e+00 -2.0459e+00 -9.3968e-01 +4.4702e+00 -1.5800e-01 +9.0424e-01 +3.6689e+00 +1.9820e+00
7 0 +2.285487131e+05 +2.286725431e+05 +2.286725431e+05 +3.1614e+00 +2.0256e+00 -3.8613e+00 -2.5695e+00 +2.4628e+00 -2.5659e+00 +2.0863e+00 +2.6749e+00 +3.9298e+00 +1.8104e+00 +3.3673e+00 -1.2706e+00 +1.9402e+00 +3.9792e+00 +1.0844e+00 +2.8934e+00 -4.4043e+00 +1.8520e+00 +4.0714e+00 +7.6129e-01
10 0 +2.032646413e+05 +2.033884713e+05 +2.033884713e+05 +2.0010e+00 +1.1239e+00 +3.5404e-01 -2.3252e+00 +4.4177e+00 +1.3325e+00 +4.8780e+00 +1.7606e+00 +1.9961e+00 -1.1597e+00 +4.0405e+00 +2.5961e+00 -2.2417e+00 +3.0978e+00 -4.8552e+00 +1.8801e+00 +2.0362e+00 -7.1861e-01 +2.8242e+00 +4.9318e+00
11 0 +1.939597464e+05 +1.940835764e+05 +1.940835764e+05 +6.5331e-01 +3.6959e+00 +1.2032e+00 -6.1159e-01 +4.0523e+00 -2.7922e+00 +2.5336e+00 +4.4643e+00 -1.7470e+00 -1.9107e+00 +1.9492e+00 +3.5777e+00 +7.3072e-01 +1.9247e+00 -2.8693e-01 +9.6763e-01 +6.5235e-01 +1.0215e+00 -3.9643e+00 +4.3143e+00
16 0 +1.539777058e+05 +1.541015358e+05 +1.541015358e+05 -3.1584e+00 -2.2705e+00 -1.8003e+00 -4.0156e+00 +4.8202e+00 +9.2488e-01 -1.9102e+00 -2.0683e+00 +1.7344e+00 -1.6143e+00 +2.2059e+00 +2.5280e+00 +1.5699e-01 +1.2040e+00 -2.5799e+00 +1.2092e+00 -1.2979e+00 +1.4198e+00 -2.6299e+00 -3.5847e+00
163 0 +1.430734382e+05 +1.431972682e+05 +1.431972682e+05 -3.3669e+00 +3.3748e-01 -2.6421e+00 -2.1399e+00 +1.0082e+00 -1.2243e+00 +1.7293e+00 -2.6953e-01 -3.2831e+00 +2.7001e+00 -8.8838e-01 +4.8505e+00 -7.6241e-01 +2.8619e-01 +8.7577e-01 +1.9555e-01 -3.0694e+00 -1.1551e+00 -4.6208e+00 +6.8656e-01
209 0 +1.154626213e+05 +1.155864513e+05 +1.155864513e+05 -3.0145e+00 +2.4126e+00 +2.5392e+00 +5.0000e+00 +2.6399e-01 -2.5453e+00 +5.0000e+00 +1.8429e+00 -2.1967e+00 +2.2725e-01 +2.2884e+00 -1.9041e+00 +2.3816e+00 -2.4207e-01 +3.6889e-01 +2.2117e+00 -4.4028e-01 -1.3783e+00 +5.0463e-02 -1.2855e+00
219 0 +1.105225849e+05 +1.106464149e+05 +1.106464149e+05 +4.1017e+00 +1.3662e-01 +3.9546e+00 +1.5492e+00 +3.5770e+00 +1.5474e+00 +4.6565e+00 -4.1326e-01 -2.9846e+00 -1.8532e+00 -7.8466e-01 -1.2159e+00 -9.1970e-01 -1.3351e+00 +2.8598e+00 -4.9274e+00 -2.8305e+00 -2.6107e+00 +2.8863e+00 +3.7752e-01
301 0 +9.886425690e+04 +9.898808690e+04 +9.898808690e+04 -3.2366e+00 +1.0395e+00 -2.7325e+00 +2.2574e+00 -1.5191e+00 +1.1033e+00 +1.8866e+00 +2.6442e+00 +4.4949e+00 -3.9798e+00 -8.4907e-01 +2.1273e+00 +7.4211e-01 +1.3298e+00 -1.8230e-01 -2.1777e+00 +3.7157e+00 -9.3897e-01 -1.3229e+00 +1.8189e+00
365 0 +8.746689517e+04 +8.759072517e+04 +8.759072517e+04 -2.8801e+00 -1.9862e+00 -1.7335e+00 +1.9731e+00 +9.1360e-01 -1.6922e+00 -1.3702e+00 +1.0175e+00 -5.0000e+00 -2.3339e+00 -6.5579e-01 +1.4031e+00 +1.4839e+00 -1.1584e+00 +6.0834e-01 +2.6638e+00 +2.9656e+00 +1.3247e+00 -2.7780e-01 -4.9599e-01
423 0 +8.615804130e+04 +8.628187130e+04 +8.628187130e+04 -3.1079e+00 +1.3835e+00 -3.3378e+00 -1.7987e+00 -5.3411e-01 -7.9415e-01 -9.8162e-01 +1.7135e+00 -2.7318e+00 +1.2154e-01 +2.1160e+00 +3.0510e+00 -1.7426e+00 +1.0850e+00 -1.9191e+00 -6.4461e-01 -2.7708e+00 +1.3564e+00 +9.6734e-01 +3.5254e+00
