% f evaluations | g evaluations | best noise-free fitness - Fopt (7.627000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.962285709e+06 +9.962361979e+06 +9.962361979e+06 -2.6108e+00 -8.6527e-01 -1.1103e+00 +3.6781e+00 +1.0111e+00
2 0 +2.809772807e+06 +2.809849077e+06 +2.809849077e+06 +9.0548e-01 +1.6134e-01 +1.6428e+00 -2.1254e-01 -7.0324e-01
4 0 +2.906320654e+05 +2.907083354e+05 +2.907083354e+05 +2.7574e+00 -6.3879e-01 +2.5737e+00 -1.0030e+00 -3.0726e+00
26 0 +2.033659248e+03 +2.109929248e+03 +2.109929248e+03 +9.4114e-01 -6.4733e-01 +4.9357e+00 -3.0785e-01 -2.0629e+00
39 0 +1.217638421e+03 +1.293908421e+03 +1.293908421e+03 +1.2492e+00 -1.1866e+00 +4.7481e+00 +4.7384e-01 -1.7341e+00
66 0 +1.218913041e+02 +1.981613041e+02 +1.981613041e+02 -5.3167e+00 +6.1954e-01 +4.3836e+00 -2.1847e+00 +2.1711e+00
156 0 +5.617104699e+01 +1.324410470e+02 +1.324410470e+02 -7.8735e-01 -6.1171e-01 +5.2997e+00 +2.7617e-01 -1.2419e+00
427 0 +5.457522994e+01 +1.308452299e+02 +1.308452299e+02 -2.7576e+00 -4.2073e-02 +4.9392e+00 -6.6119e-01 -7.9429e-01
439 0 +5.297574180e+01 +1.292457418e+02 +1.292457418e+02 -2.5767e+00 -4.9359e-02 +4.9057e+00 -6.7912e-01 -9.8283e-01
441 0 +5.230222816e+01 +1.285722282e+02 +1.285722282e+02 -2.8285e+00 -2.0377e-01 +4.5988e+00 -5.6560e-01 -8.2934e-01
447 0 +4.676855961e+01 +1.230385596e+02 +1.230385596e+02 -2.3206e+00 -2.1669e-01 +4.6036e+00 -6.7552e-01 -7.7361e-01
449 0 +4.525946872e+01 +1.215294687e+02 +1.215294687e+02 -2.0826e+00 -1.4026e-01 +4.4860e+00 -7.8869e-01 -1.8423e+00
