% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.025500000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.016845151e+00 -9.453315485e+01 -9.453315485e+01 -1.6530e-01 +2.5162e-01 -8.6632e-02 +3.4139e-01 -6.6974e-02 +9.7542e-02 -2.4086e-01 -1.6478e-01 -6.2279e-02 -1.6442e-01 +1.4831e-01 +6.2057e-02 +3.4253e-03 -1.7945e-01 +3.1325e-01 -1.3994e-01 +3.8299e-02 +2.9855e-01 -2.5163e-01 +2.3482e-01
2 0 +7.239518384e+00 -9.531048162e+01 -9.531048162e+01 -2.9714e-02 -7.2659e-02 -1.3201e-01 +4.1229e-01 -2.1984e-01 -4.0320e-02 -1.1675e-01 +1.4205e-01 +1.8390e-01 -7.4719e-03 +3.4694e-01 -1.3880e-01 -1.4680e-01 -4.4231e-02 -7.5585e-02 -1.2175e-01 -9.2720e-02 +2.5108e-01 -7.0319e-02 +8.3065e-02
6 0 +6.943852693e+00 -9.560614731e+01 -9.560614731e+01 +2.9495e-02 -1.7949e-01 +1.3520e-01 +2.5235e-01 -3.1607e-01 +6.9938e-02 +1.0335e-01 -6.0528e-02 +2.1960e-02 +1.0070e-01 -1.8466e-01 +6.3169e-02 -1.3949e-03 -1.2528e-01 -5.6962e-02 +3.7029e-02 -3.5344e-01 +1.3130e-01 +2.3871e-01 -1.8137e-02
20 0 +6.789327659e+00 -9.576067234e+01 -9.576067234e+01 -7.6145e-03 +1.9020e-01 -3.5461e-02 +5.9539e-02 +3.0966e-01 -2.1361e-02 +3.7585e-02 -1.3067e-01 +4.8318e-02 -8.0971e-03 -9.8638e-02 +1.2426e-01 +2.0600e-01 +1.7185e-02 +1.7157e-01 +9.9494e-03 -3.4946e-01 +1.0782e-01 -1.6786e-01 +1.1418e-01
46 0 +5.872183326e+00 -9.667781667e+01 -9.667781667e+01 +8.3088e-03 +5.5709e-01 +3.4589e-01 -6.1733e-02 +5.0784e-02 -1.5893e-02 -2.2432e-01 -1.2352e-01 +1.2242e-01 +1.0801e-01 +1.7893e-01 -1.2835e-02 +3.2328e-01 +2.2431e-01 -1.9249e-01 +7.4035e-02 -2.8155e-01 +3.4308e-01 -4.1040e-02 -1.8172e-01
72 0 +5.383467247e+00 -9.716653275e+01 -9.716653275e+01 +3.1586e-01 -2.9638e-01 +1.0645e-01 +2.0718e-01 +1.0978e-01 -4.3613e-01 -3.1359e-01 -4.5441e-02 +2.9626e-01 +8.7160e-02 -2.1625e-01 -1.2003e-01 -2.3913e-01 -5.9728e-01 +4.4279e-01 -2.2090e-01 -9.6326e-02 -4.2158e-01 +3.1036e-01 +3.4803e-02
121 0 +5.295656544e+00 -9.725434346e+01 -9.725434346e+01 -2.2032e-01 +1.2327e-01 +4.5361e-02 +1.5297e-01 +5.4911e-02 +8.5904e-02 +2.4457e-01 -1.6403e-01 -4.0716e-02 -4.0050e-01 -5.1572e-02 +2.5453e-01 +1.4910e-01 +2.0421e-01 -3.3140e-01 -8.8790e-02 -1.0311e-01 -1.5150e-01 -7.0741e-02 -3.9076e-01
402 0 +5.072369423e+00 -9.747763058e+01 -9.747763058e+01 +2.4674e-01 +2.2052e-02 -1.0375e-01 -2.9581e-01 +8.6834e-02 +4.2621e-01 -1.1367e-01 -3.3557e-01 -3.4985e-02 +7.4730e-02 -1.1967e-01 -2.7514e-02 -5.6170e-02 +1.3909e-01 -3.4779e-01 +5.6120e-02 -1.7196e-01 +1.2057e-01 -7.9375e-02 -3.0054e-03
566 0 +4.707396460e+00 -9.784260354e+01 -9.784260354e+01 -1.0413e-01 -2.0604e-02 +1.5316e-01 +1.0963e-01 -8.8425e-03 +5.7773e-01 -1.5905e-01 +2.0956e-02 -8.8653e-02 +5.2069e-02 -3.4506e-01 +1.2096e-01 +3.8821e-02 +3.6312e-02 -2.5564e-02 -4.2581e-02 -1.1412e-01 -3.7979e-01 -3.5165e-01 -1.6581e-01
763 0 +4.371481125e+00 -9.817851888e+01 -9.817851888e+01 +1.1636e-01 +3.0208e-01 -5.2209e-01 -1.9312e-01 +3.1976e-02 -4.6315e-02 -1.1474e-01 -1.2127e-01 -4.0550e-01 +2.5166e-01 +1.4468e-01 -6.2726e-02 -1.2094e-01 +3.3765e-01 +9.3991e-02 -1.3266e-01 -1.6444e-01 +2.5431e-01 -1.2864e-01 -2.0844e-01
1119 0 +4.143978212e+00 -9.840602179e+01 -9.840602179e+01 +1.8777e-02 +2.9947e-02 -3.8909e-01 -4.9859e-01 +4.4593e-01 -3.2416e-01 -3.0102e-02 +1.6837e-01 -1.8561e-01 -6.9719e-02 -2.9312e-01 +4.6566e-02 +7.2686e-02 +6.9860e-02 +1.3392e-01 +1.7667e-01 +1.2354e-01 +1.8385e-01 +1.2963e-02 +9.4228e-02
1698 0 +4.060137901e+00 -9.848986210e+01 -9.848986210e+01 -1.6035e-01 -5.9837e-02 +1.0868e-02 +2.0246e-01 -3.9336e-01 +7.6463e-02 -5.8141e-02 -1.2969e-01 -6.5088e-02 -2.0392e-02 +7.4519e-03 -1.3230e-01 -1.8914e-01 +2.4226e-02 -1.8411e-01 -4.0503e-02 +3.0951e-02 +4.8466e-02 -4.2044e-01 -2.8161e-01
1882 0 +3.339615900e+00 -9.921038410e+01 -9.921038410e+01 -1.9552e-02 +2.6100e-01 +6.1769e-01 -8.2333e-02 -4.6747e-01 -3.3138e-01 -4.6357e-01 +1.0961e-01 +1.9763e-01 +5.0437e-02 +1.2379e-01 -7.1153e-02 +1.5422e-02 -3.3626e-01 +4.2888e-02 +3.0072e-01 -9.8047e-02 +4.2058e-01 +7.9284e-02 -1.1436e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.169000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.221936848e+00 +8.091193685e+01 +8.091193685e+01 -7.9411e-02 -2.4177e-02 -9.9098e-02 -4.1257e-02 +3.5805e-01 -4.5664e-02 +1.7345e-01 -1.8525e-01 +7.5417e-02 -2.6043e-01 +8.7866e-02 +3.3074e-02 -7.3425e-02 -1.7440e-01 +1.8806e-01 +6.2808e-02 -1.5751e-01 +2.6865e-02 -6.3263e-02 -1.5781e-01
2 0 +7.938975049e+00 +7.962897505e+01 +7.962897505e+01 +5.6783e-01 -4.8189e-03 +4.6990e-01 -1.3405e-01 -8.4972e-02 +2.2243e-01 +1.5508e-01 -1.1306e-01 +3.2048e-02 +2.3809e-01 +2.4232e-01 +1.0004e-01 +1.5241e-02 +2.4358e-01 +1.6469e-01 -1.8655e-01 +4.3998e-02 -4.4686e-01 -2.1880e-01 +2.1198e-01
5 0 +5.345400066e+00 +7.703540007e+01 +7.703540007e+01 -5.9699e-02 -1.7810e-02 -2.1187e-01 -3.4926e-01 -1.8761e-01 -6.8798e-02 +2.7571e-02 +1.2665e-01 -7.5125e-02 +3.3546e-01 +6.3217e-02 -4.0411e-02 +1.5955e-01 -2.1038e-01 +1.0510e-01 +2.3410e-01 -4.3756e-03 +3.1538e-01 -3.4299e-01 -4.5491e-01
181 0 +4.679090762e+00 +7.636909076e+01 +7.636909076e+01 -4.0129e-01 +2.4520e-02 -2.1444e-01 -2.2413e-01 -4.5731e-01 +4.2222e-02 +4.4433e-01 +2.3568e-02 +9.0905e-02 +2.7329e-01 +1.7824e-01 -8.0672e-02 +1.3303e-01 -3.6857e-01 -2.0106e-01 +2.5475e-01 -4.1882e-01 +6.4907e-02 -7.7560e-02 -4.9277e-02
405 0 +4.184829935e+00 +7.587482993e+01 +7.587482993e+01 -6.2108e-01 -3.0695e-02 -1.5211e-01 -1.2787e-01 +6.7693e-02 +8.7468e-02 +1.5796e-01 -7.8741e-02 +8.2922e-02 +3.0437e-01 +3.6399e-01 +2.7570e-02 -1.1856e-01 -4.2176e-01 -6.6046e-02 +1.4753e-01 -5.0093e-02 +1.1965e-01 +2.1318e-03 -7.3028e-02
8679 0 +3.918229211e+00 +7.560822921e+01 +7.560822921e+01 +1.2183e-01 -1.9128e-01 -7.9618e-01 -5.9828e-01 +3.7617e-01 +6.8935e-01 -6.2475e-01 -8.8100e-01 +1.0013e+00 +4.3265e-01 -3.3182e-02 +6.1147e-01 -1.1242e-01 -9.8769e-01 -4.5455e-01 +1.2352e+00 +5.2277e-01 -1.6431e-01 -3.3542e-01 +2.8099e-02
29783 0 +3.855177264e+00 +7.554517726e+01 +7.554517726e+01 -5.8394e-01 -1.0774e-01 -2.8365e-01 +2.0822e-01 +4.8120e-01 +8.6819e-01 -6.1804e-01 -9.9934e-01 +1.9610e-01 +2.1635e-01 -3.3202e-01 +1.5986e+00 -1.4938e-01 +7.1564e-02 -7.6933e-01 +4.7605e-01 -6.4369e-02 +5.8934e-01 -5.8655e-01 -1.8600e-01
30015 0 +3.367092605e+00 +7.505709261e+01 +7.505709261e+01 -5.6791e-01 -7.5030e-02 -3.2139e-01 +1.9334e-01 +4.7611e-01 +8.3990e-01 -6.4757e-01 -1.0990e+00 +1.3842e-01 +2.3930e-01 -3.4166e-01 +1.5530e+00 -2.1547e-01 +1.0156e-01 -7.5641e-01 +4.3794e-01 -3.8668e-02 +5.9456e-01 -5.4075e-01 -2.1379e-01
31314 0 +3.120783654e+00 +7.481078365e+01 +7.481078365e+01 -6.6086e-01 -1.1436e-01 -3.7667e-01 +2.3269e-01 +4.9247e-01 +7.9701e-01 -7.3205e-01 -1.1341e+00 +1.2229e-01 +2.5958e-01 -3.2303e-01 +1.5809e+00 -1.6573e-01 +1.2263e-01 -7.6103e-01 +4.5517e-01 -5.8276e-02 +5.6178e-01 -6.2491e-01 -2.0922e-01
