% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.465000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.483285991e+04 +5.428635991e+04 +5.428635991e+04 +1.3485e+00 -1.0569e+00 -1.1613e+00 -1.0964e+00 -6.7397e-01 -1.9512e+00 -3.0493e+00 -1.1697e+00 +4.2460e-01 +2.7677e+00 +3.0759e-01 -1.4365e+00 +3.8382e+00 -9.7997e-01 +3.0312e+00 -1.6197e-01 -2.9250e+00 -1.9046e+00 +1.0272e+00 +2.9419e+00
3 0 +2.848627355e+04 +2.793977355e+04 +2.793977355e+04 -1.2845e+00 +4.7865e-01 +3.7802e+00 -1.0980e+00 +2.7588e+00 -1.8635e+00 -3.0213e+00 +5.2378e+00 -1.5846e-01 -1.0089e+00 -5.9588e-01 +6.0262e-01 +2.9321e+00 -1.7334e+00 -9.2568e-02 +7.3624e-01 +1.0394e+00 -1.4916e-01 +1.2271e-01 +1.5179e-01
23 0 +2.342534572e+04 +2.287884572e+04 +2.287884572e+04 +1.9045e+00 -1.8851e+00 -8.4259e-01 -5.5342e+00 +9.1435e-01 +2.9144e+00 -1.2273e+00 +3.5092e+00 -1.4225e+00 +8.8907e-02 +1.0246e+00 -7.4541e-01 +1.8909e+00 -2.7188e+00 -5.6362e-01 +3.8164e-01 +2.1173e+00 +3.5803e-01 +3.7427e-01 +1.4552e+00
45 0 +1.918655942e+04 +1.864005942e+04 +1.864005942e+04 -3.8344e+00 -9.5972e-01 -7.3429e-01 -3.9222e+00 +1.4176e+00 -1.9423e+00 -5.3172e+00 +2.6780e+00 -2.3577e+00 -8.2180e-01 +1.6429e+00 -6.8904e-01 +4.0736e-01 -3.3066e+00 +7.0512e-01 -1.0825e+00 -4.2753e-01 +2.5712e-01 -1.3627e+00 +1.9992e+00
63 0 +8.280603122e+03 +7.734103122e+03 +7.734103122e+03 +1.6013e+00 +5.7764e-01 -1.9448e-01 +2.8383e-01 +2.0265e+00 -1.4056e+00 -2.7535e+00 +1.3284e+00 -2.4356e+00 +4.9566e-01 +1.6919e-01 -2.5409e-01 +1.7495e+00 -3.0123e+00 +6.6032e-01 -8.7312e-02 +8.3380e-01 +4.2535e-01 -3.5328e+00 +2.1570e+00
75 0 +6.200149286e+03 +5.653649286e+03 +5.653649286e+03 -3.2729e-01 +7.8889e-02 +2.3739e+00 +3.3194e-01 +4.4483e+00 -2.9902e+00 -3.3121e+00 +2.8203e+00 -5.7717e-01 +3.1292e+00 -1.6309e+00 +6.4740e-01 +5.4656e-01 -1.2641e+00 +7.9858e-01 -2.1633e-02 +2.7782e+00 -8.9350e-01 -1.2832e+00 +1.8717e+00
132 0 +5.224362057e+03 +4.677862057e+03 +4.677862057e+03 +3.6863e+00 -2.9904e-01 +2.5360e+00 -1.8709e+00 +2.6011e+00 +4.9343e-01 -3.0319e+00 +1.2206e+00 -2.6469e+00 +2.3633e-01 -2.9017e-01 +2.7195e+00 +2.8488e+00 -3.3247e+00 +1.8831e+00 -2.0364e+00 +2.2455e-01 -2.8669e+00 -2.4517e+00 +1.5911e+00
145 0 +1.134762998e+03 +5.882629978e+02 +5.882629978e+02 +6.3316e-01 +1.1168e+00 +2.4193e+00 -2.4762e-01 -6.9160e-01 -2.3909e+00 -1.3332e+00 +8.9099e-01 -2.8270e+00 +1.1487e+00 +1.3356e+00 +1.0909e+00 +1.6982e+00 +1.8570e-01 +1.7208e+00 +2.5133e-01 +8.3594e-01 -2.3523e+00 -2.2416e+00 +1.4613e+00
195 0 +6.270604315e+02 +8.056043149e+01 +8.056043149e+01 +1.9803e+00 -6.4520e-01 +1.2611e+00 +1.7645e+00 -1.3633e+00 -2.8065e+00 +5.6172e-01 +1.5889e+00 +3.6470e-01 +2.5510e+00 +2.2366e-01 +4.6543e-01 +2.9776e+00 -1.1394e+00 +2.6193e+00 -1.5105e+00 +1.8844e+00 -1.6362e+00 -2.1981e+00 +1.8711e+00
203 0 +5.300642180e+02 -1.643578200e+01 -1.643578200e+01 +2.9903e+00 -6.9208e-01 +1.7135e+00 +1.2170e+00 -7.7037e-01 -1.8562e+00 -1.4710e+00 +2.7727e+00 -2.2105e+00 +2.1661e+00 -1.3473e-01 +5.5007e-01 +1.6772e+00 -2.6161e+00 +2.0128e+00 -7.4042e-01 +2.9053e+00 -1.6835e+00 -1.1149e+00 +2.4853e+00
