% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.978693096e+03 +3.516603096e+03 +3.516603096e+03
3 0 +3.053196342e+03 +2.591106342e+03 +2.591106342e+03
19 0 +2.533019586e+03 +2.070929586e+03 +2.070929586e+03
27 0 +1.962346434e+03 +1.500256434e+03 +1.500256434e+03
67 0 +1.853762582e+03 +1.391672582e+03 +1.391672582e+03
161 0 +1.401433830e+03 +9.393438298e+02 +9.393438298e+02
163 0 +1.333510227e+03 +8.714202267e+02 +8.714202267e+02
167 0 +1.308395851e+03 +8.463058512e+02 +8.463058512e+02
519 0 +1.210856169e+03 +7.487661685e+02 +7.487661685e+02
868 0 +1.199708343e+03 +7.376183432e+02 +7.376183432e+02
1219 0 +1.085201849e+03 +6.231118493e+02 +6.231118493e+02
1911 0 +1.058125796e+03 +5.960357955e+02 +5.960357955e+02
2090 0 +1.035708620e+03 +5.736186200e+02 +5.736186200e+02
2795 0 +9.988464448e+02 +5.367564448e+02 +5.367564448e+02
3136 0 +9.743939842e+02 +5.123039842e+02 +5.123039842e+02
3140 0 +9.300030090e+02 +4.679130090e+02 +4.679130090e+02
3314 0 +9.047000357e+02 +4.426100357e+02 +4.426100357e+02
4014 0 +8.699493447e+02 +4.078593447e+02 +4.078593447e+02
5244 0 +7.677504517e+02 +3.056604517e+02 +3.056604517e+02
5249 0 +7.535307381e+02 +2.914407381e+02 +2.914407381e+02
5594 0 +7.306467514e+02 +2.685567514e+02 +2.685567514e+02
6114 0 +6.858087462e+02 +2.237187462e+02 +2.237187462e+02
6288 0 +6.693775010e+02 +2.072875010e+02 +2.072875010e+02
6643 0 +6.315124782e+02 +1.694224782e+02 +1.694224782e+02
7341 0 +6.036895258e+02 +1.415995258e+02 +1.415995258e+02
7872 0 +5.986805557e+02 +1.365905557e+02 +1.365905557e+02
8390 0 +5.568272965e+02 +9.473729650e+01 +9.473729650e+01
8740 0 +5.357702399e+02 +7.368023990e+01 +7.368023990e+01
9619 0 +5.210026602e+02 +5.891266017e+01 +5.891266017e+01
9789 0 +4.988756670e+02 +3.678566697e+01 +3.678566697e+01
10663 0 +4.730518239e+02 +1.096182394e+01 +1.096182394e+01
12942 0 +4.434441652e+02 -1.864583485e+01 -1.864583485e+01
21165 0 +4.353159170e+02 -2.677408296e+01 -2.677408296e+01
91515 0 +4.099686921e+02 -5.212130793e+01 -5.212130793e+01
% f evaluations | g evaluations | best noise-free fitness - Fopt (7.766000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.754462981e+03 +3.832122981e+03 +3.832122981e+03
6 0 +3.157061603e+03 +3.234721603e+03 +3.234721603e+03
7 0 +2.888777147e+03 +2.966437147e+03 +2.966437147e+03
17 0 +2.492286938e+03 +2.569946938e+03 +2.569946938e+03
57 0 +2.293983791e+03 +2.371643791e+03 +2.371643791e+03
83 0 +2.165795439e+03 +2.243455439e+03 +2.243455439e+03
92 0 +1.980581714e+03 +2.058241714e+03 +2.058241714e+03
161 0 +1.869665111e+03 +1.947325111e+03 +1.947325111e+03
165 0 +1.749644938e+03 +1.827304938e+03 +1.827304938e+03
340 0 +1.642257977e+03 +1.719917977e+03 +1.719917977e+03
512 0 +1.617871763e+03 +1.695531763e+03 +1.695531763e+03
863 0 +1.518405596e+03 +1.596065596e+03 +1.596065596e+03
1048 0 +1.423744298e+03 +1.501404298e+03 +1.501404298e+03
1216 0 +1.407719067e+03 +1.485379067e+03 +1.485379067e+03
1561 0 +1.345890593e+03 +1.423550593e+03 +1.423550593e+03
1573 0 +1.314893287e+03 +1.392553287e+03 +1.392553287e+03
1742 0 +1.286128919e+03 +1.363788919e+03 +1.363788919e+03
